ENLIGHTEN Version,2.2.7
Measurement ID,20220601-154022-781259-WP-01098
Serial Number,WP-01098
Model,WP-785-A-SR-LMMFC-IC
Label,15:40:22 WP-01098
Declared Match,
Declared Score,0
Scan Averaging,20
Boxcar,0
Technique,Raman
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,70
Timestamp,2022-06-01 15:40:22.781259
Note,
Temperature,0
CCD C0,801.5531616210938
CCD C1,0.14215931296348572
CCD C2,-6.1220512179716025e-06
CCD C3,-8.18202661179157e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.17
Laser Enable,True
Laser Power,450.0
Laser Temperature,-95.6635622537485
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark,Reference
0,801.55,260.32,3190.30,4118.60,928.30,
1,801.70,262.53,3395.95,4329.80,933.85,
2,801.84,264.74,3490.60,4415.15,924.55,
3,801.98,266.95,3459.10,4388.85,929.75,
4,802.12,269.16,3328.15,4262.85,934.70,
5,802.26,271.37,3094.40,4017.90,923.50,
6,802.41,273.57,2886.45,3817.65,931.20,
7,802.55,275.78,2746.45,3663.50,917.05,
8,802.69,277.99,2747.10,3683.50,936.40,
9,802.83,280.19,2934.30,3868.00,933.70,
10,802.97,282.39,3369.80,4312.85,943.05,
11,803.12,284.60,4092.90,5026.70,933.80,
12,803.26,286.80,5155.95,6083.85,927.90,
13,803.40,289.00,6503.50,7437.45,933.95,
14,803.54,291.20,8101.80,9043.00,941.20,
15,803.68,293.40,9772.30,10713.80,941.50,
16,803.83,295.59,11327.95,12273.55,945.60,
17,803.97,297.79,12456.60,13373.00,916.40,
18,804.11,299.99,12937.05,13875.00,937.95,
19,804.25,302.18,12436.70,13379.20,942.50,
20,804.39,304.37,11063.15,11981.75,918.60,
21,804.54,306.57,9079.65,10022.90,943.25,
22,804.68,308.76,6875.45,7812.75,937.30,
23,804.82,310.95,4917.15,5857.95,940.80,
24,804.96,313.14,3443.95,4367.75,923.80,
25,805.10,315.33,2527.00,3470.05,943.05,
26,805.25,317.52,2017.45,2959.15,941.70,
27,805.39,319.70,1718.55,2649.55,931.00,
28,805.53,321.89,1552.25,2497.75,945.50,
29,805.67,324.07,1433.60,2390.40,956.80,
30,805.81,326.26,1357.45,2295.65,938.20,
31,805.95,328.44,1298.45,2233.55,935.10,
32,806.10,330.62,1251.35,2194.40,943.05,
33,806.24,332.80,1219.70,2155.35,935.65,
34,806.38,334.98,1189.80,2130.75,940.95,
35,806.52,337.16,1163.35,2102.35,939.00,
36,806.66,339.34,1144.85,2072.40,927.55,
37,806.80,341.52,1134.00,2079.25,945.25,
38,806.95,343.69,1112.05,2050.90,938.85,
39,807.09,345.87,1106.55,2046.55,940.00,
40,807.23,348.04,1097.55,2036.30,938.75,
41,807.37,350.21,1097.35,2048.10,950.75,
42,807.51,352.39,1095.45,2032.85,937.40,
43,807.65,354.56,1093.30,2019.65,926.35,
44,807.80,356.73,1091.15,2039.40,948.25,
45,807.94,358.90,1095.85,2052.10,956.25,
46,808.08,361.06,1095.35,2040.75,945.40,
47,808.22,363.23,1105.25,2047.70,942.45,
48,808.36,365.40,1122.50,2057.35,934.85,
49,808.50,367.56,1127.00,2071.10,944.10,
50,808.64,369.73,1138.00,2059.75,921.75,
51,808.79,371.89,1155.55,2089.25,933.70,
52,808.93,374.05,1175.35,2126.25,950.90,
53,809.07,376.21,1197.70,2153.20,955.50,
54,809.21,378.37,1217.80,2159.90,942.10,
55,809.35,380.53,1241.15,2190.85,949.70,
56,809.49,382.69,1276.70,2220.40,943.70,
57,809.63,384.85,1302.55,2246.55,944.00,
58,809.78,387.00,1347.05,2300.80,953.75,
59,809.92,389.16,1402.65,2344.25,941.60,
60,810.06,391.31,1475.75,2415.40,939.65,
61,810.20,393.47,1561.35,2504.95,943.60,
62,810.34,395.62,1705.20,2637.40,932.20,
63,810.48,397.77,1889.65,2822.10,932.45,
64,810.62,399.92,2142.90,3072.85,929.95,
65,810.77,402.07,2448.50,3391.30,942.80,
66,810.91,404.22,2792.40,3733.40,941.00,
67,811.05,406.37,3153.05,4108.15,955.10,
68,811.19,408.51,3437.45,4370.15,932.70,
69,811.33,410.66,3588.30,4524.55,936.25,
70,811.47,412.80,3571.80,4502.10,930.30,
71,811.61,414.95,3372.15,4313.85,941.70,
72,811.75,417.09,3041.20,3977.65,936.45,
73,811.89,419.23,2646.75,3581.15,934.40,
74,812.04,421.37,2271.70,3218.65,946.95,
75,812.18,423.51,1975.95,2913.35,937.40,
76,812.32,425.65,1756.45,2694.70,938.25,
77,812.46,427.79,1592.20,2526.00,933.80,
78,812.60,429.92,1495.25,2456.65,961.40,
79,812.74,432.06,1415.40,2363.50,948.10,
80,812.88,434.19,1363.70,2314.10,950.40,
81,813.02,436.33,1334.35,2278.05,943.70,
82,813.16,438.46,1302.15,2249.40,947.25,
83,813.31,440.59,1283.75,2215.85,932.10,
84,813.45,442.72,1265.75,2202.15,936.40,
85,813.59,444.85,1253.50,2192.85,939.35,
86,813.73,446.98,1252.95,2202.55,949.60,
87,813.87,449.11,1234.20,2184.15,949.95,
88,814.01,451.24,1224.30,2178.30,954.00,
89,814.15,453.36,1207.40,2155.85,948.45,
90,814.29,455.49,1196.50,2128.90,932.40,
91,814.43,457.61,1183.55,2156.55,973.00,
92,814.57,459.73,1165.60,2118.60,953.00,
93,814.71,461.86,1142.20,2080.00,937.80,
94,814.86,463.98,1133.70,2089.50,955.80,
95,815.00,466.10,1112.60,2050.25,937.65,
96,815.14,468.22,1111.15,2048.05,936.90,
97,815.28,470.33,1087.45,2046.95,959.50,
98,815.42,472.45,1090.70,2021.65,930.95,
99,815.56,474.57,1074.85,2026.20,951.35,
100,815.70,476.68,1082.45,2013.75,931.30,
101,815.84,478.80,1071.15,2027.60,956.45,
102,815.98,480.91,1071.05,2022.50,951.45,
103,816.12,483.02,1068.35,2000.10,931.75,
104,816.26,485.13,1066.05,2008.00,941.95,
105,816.40,487.24,1058.80,1997.30,938.50,
106,816.54,489.35,1050.75,1996.95,946.20,
107,816.68,491.46,1051.00,1984.45,933.45,
108,816.82,493.57,1034.40,1973.15,938.75,
109,816.97,495.67,1025.60,1976.75,951.15,
110,817.11,497.78,1028.90,1969.95,941.05,
111,817.25,499.88,1016.95,1944.25,927.30,
112,817.39,501.98,1020.05,1964.50,944.45,
113,817.53,504.09,998.95,1922.20,923.25,
114,817.67,506.19,1005.85,1957.90,952.05,
115,817.81,508.29,1007.35,1953.75,946.40,
116,817.95,510.39,1009.60,1953.15,943.55,
117,818.09,512.48,1011.90,1950.15,938.25,
118,818.23,514.58,1011.80,1962.55,950.75,
119,818.37,516.68,1015.70,1960.15,944.45,
120,818.51,518.77,1024.25,1960.90,936.65,
121,818.65,520.87,1022.55,1950.10,927.55,
122,818.79,522.96,1038.90,1983.00,944.10,
123,818.93,525.05,1039.45,1971.35,931.90,
124,819.07,527.14,1037.15,1980.05,942.90,
125,819.21,529.23,1051.35,1985.45,934.10,
126,819.35,531.32,1048.15,1976.25,928.10,
127,819.49,533.41,1052.10,2005.90,953.80,
128,819.63,535.50,1054.40,1995.80,941.40,
129,819.77,537.59,1049.20,1981.60,932.40,
130,819.91,539.67,1050.85,1989.75,938.90,
131,820.05,541.76,1047.80,1970.15,922.35,
132,820.19,543.84,1032.95,1987.20,954.25,
133,820.33,545.92,1035.85,1972.85,937.00,
134,820.47,548.00,1035.95,1978.15,942.20,
135,820.61,550.08,1031.10,1979.30,948.20,
136,820.75,552.16,1029.25,1990.70,961.45,
137,820.89,554.24,1028.10,1955.65,927.55,
138,821.03,556.32,1024.10,1963.85,939.75,
139,821.17,558.39,1014.75,1959.20,944.45,
140,821.31,560.47,1012.00,1960.90,948.90,
141,821.45,562.54,1015.15,1954.50,939.35,
142,821.59,564.62,1004.80,1956.90,952.10,
143,821.73,566.69,1010.90,1940.80,929.90,
144,821.87,568.76,1020.55,1949.05,928.50,
145,822.01,570.83,1017.25,1958.35,941.10,
146,822.15,572.90,1021.05,1965.00,943.95,
147,822.29,574.97,1030.55,1979.80,949.25,
148,822.43,577.04,1034.80,1995.30,960.50,
149,822.57,579.10,1050.70,1983.75,933.05,
150,822.71,581.17,1065.35,2013.55,948.20,
151,822.85,583.23,1068.60,2020.25,951.65,
152,822.99,585.30,1091.75,2030.20,938.45,
153,823.13,587.36,1118.50,2053.20,934.70,
154,823.27,589.42,1134.25,2075.65,941.40,
155,823.41,591.48,1166.55,2121.20,954.65,
156,823.55,593.54,1192.20,2127.05,934.85,
157,823.69,595.60,1226.85,2188.15,961.30,
158,823.83,597.66,1264.05,2215.75,951.70,
159,823.97,599.71,1303.95,2251.85,947.90,
160,824.11,601.77,1343.05,2279.55,936.50,
161,824.25,603.82,1375.90,2318.25,942.35,
162,824.39,605.88,1408.30,2348.95,940.65,
163,824.53,607.93,1439.30,2394.10,954.80,
164,824.67,609.98,1465.60,2406.75,941.15,
165,824.81,612.03,1489.25,2441.30,952.05,
166,824.95,614.08,1518.80,2459.60,940.80,
167,825.08,616.13,1554.60,2507.50,952.90,
168,825.22,618.18,1602.60,2544.20,941.60,
169,825.36,620.23,1659.45,2596.55,937.10,
170,825.50,622.27,1731.90,2667.20,935.30,
171,825.64,624.32,1830.35,2756.60,926.25,
172,825.78,626.36,1962.95,2895.55,932.60,
173,825.92,628.40,2127.85,3067.05,939.20,
174,826.06,630.44,2353.35,3288.15,934.80,
175,826.20,632.48,2693.55,3646.90,953.35,
176,826.34,634.52,3190.40,4137.10,946.70,
177,826.48,636.56,3962.15,4903.35,941.20,
178,826.62,638.60,5191.15,6132.25,941.10,
179,826.76,640.64,7066.15,8012.05,945.90,
180,826.90,642.67,9877.85,10821.10,943.25,
181,827.03,644.71,13766.75,14703.65,936.90,
182,827.17,646.74,18821.35,19765.30,943.95,
183,827.31,648.77,24512.55,25447.75,935.20,
184,827.45,650.81,29893.90,30819.65,925.75,
185,827.59,652.84,33747.00,34681.30,934.30,
186,827.73,654.87,34976.60,35919.05,942.45,
187,827.87,656.89,33243.60,34187.25,943.65,
188,828.01,658.92,29120.50,30066.15,945.65,
189,828.15,660.95,23649.45,24594.45,945.00,
190,828.29,662.98,18285.15,19232.65,947.50,
191,828.43,665.00,14067.80,15017.80,950.00,
192,828.56,667.02,11420.90,12354.00,933.10,
193,828.70,669.05,10141.10,11070.20,929.10,
194,828.84,671.07,9729.25,10673.25,944.00,
195,828.98,673.09,9681.45,10629.55,948.10,
196,829.12,675.11,9662.60,10620.00,957.40,
197,829.26,677.13,9482.80,10437.25,954.45,
198,829.40,679.15,9048.90,9974.30,925.40,
199,829.54,681.16,8416.55,9379.15,962.60,
200,829.67,683.18,7625.05,8562.90,937.85,
201,829.81,685.19,6790.35,7727.20,936.85,
202,829.95,687.21,5907.00,6850.20,943.20,
203,830.09,689.22,5122.20,6062.30,940.10,
204,830.23,691.23,4471.75,5409.90,938.15,
205,830.37,693.24,3930.80,4879.40,948.60,
206,830.51,695.25,3571.60,4516.75,945.15,
207,830.65,697.26,3314.65,4267.35,952.70,
208,830.78,699.27,3160.00,4100.15,940.15,
209,830.92,701.28,3055.55,3987.15,931.60,
210,831.06,703.28,3015.60,3964.10,948.50,
211,831.20,705.29,3020.25,3959.35,939.10,
212,831.34,707.29,3033.75,3990.05,956.30,
213,831.48,709.29,3046.60,3984.45,937.85,
214,831.61,711.30,3080.85,4030.10,949.25,
215,831.75,713.30,3102.10,4048.70,946.60,
216,831.89,715.30,3116.30,4062.30,946.00,
217,832.03,717.30,3160.35,4095.80,935.45,
218,832.17,719.29,3215.50,4145.50,930.00,
219,832.31,721.29,3307.55,4237.80,930.25,
220,832.44,723.29,3476.10,4414.55,938.45,
221,832.58,725.28,3699.75,4630.85,931.10,
222,832.72,727.28,4016.60,4963.35,946.75,
223,832.86,729.27,4450.70,5414.20,963.50,
224,833.00,731.26,5054.75,5981.90,927.15,
225,833.14,733.25,5858.25,6796.35,938.10,
226,833.27,735.24,6976.80,7931.30,954.50,
227,833.41,737.23,8478.25,9434.30,956.05,
228,833.55,739.22,10524.05,11458.35,934.30,
229,833.69,741.21,13178.70,14127.60,948.90,
230,833.83,743.19,16609.45,17545.65,936.20,
231,833.96,745.18,20772.55,21713.00,940.45,
232,834.10,747.16,25491.90,26420.30,928.40,
233,834.24,749.14,30309.65,31251.55,941.90,
234,834.38,751.13,34565.10,35501.95,936.85,
235,834.52,753.11,37426.35,38358.40,932.05,
236,834.65,755.09,38191.60,39126.25,934.65,
237,834.79,757.07,36763.50,37695.85,932.35,
238,834.93,759.04,33333.40,34282.80,949.40,
239,835.07,761.02,28737.55,29685.05,947.50,
240,835.21,763.00,23804.90,24747.25,942.35,
241,835.34,764.97,19174.90,20103.95,929.05,
242,835.48,766.95,15365.50,16310.60,945.10,
243,835.62,768.92,12404.20,13333.85,929.65,
244,835.76,770.89,10168.30,11098.55,930.25,
245,835.89,772.86,8492.10,9430.55,938.45,
246,836.03,774.83,7205.35,8133.05,927.70,
247,836.17,776.80,6200.45,7149.00,948.55,
248,836.31,778.77,5374.95,6310.50,935.55,
249,836.44,780.74,4705.65,5648.60,942.95,
250,836.58,782.70,4156.60,5089.40,932.80,
251,836.72,784.67,3694.30,4619.30,925.00,
252,836.86,786.63,3297.90,4241.30,943.40,
253,837.00,788.59,2983.35,3926.95,943.60,
254,837.13,790.56,2726.20,3668.90,942.70,
255,837.27,792.52,2488.00,3412.85,924.85,
256,837.41,794.48,2307.80,3253.40,945.60,
257,837.54,796.44,2148.55,3077.80,929.25,
258,837.68,798.39,2012.55,2958.65,946.10,
259,837.82,800.35,1898.75,2840.10,941.35,
260,837.96,802.31,1803.55,2742.45,938.90,
261,838.09,804.26,1722.65,2669.05,946.40,
262,838.23,806.22,1661.00,2589.15,928.15,
263,838.37,808.17,1591.90,2517.05,925.15,
264,838.51,810.12,1550.50,2493.85,943.35,
265,838.64,812.07,1503.15,2466.50,963.35,
266,838.78,814.02,1465.35,2409.95,944.60,
267,838.92,815.97,1432.35,2377.80,945.45,
268,839.05,817.92,1396.40,2324.65,928.25,
269,839.19,819.87,1366.75,2303.00,936.25,
270,839.33,821.81,1344.00,2294.65,950.65,
271,839.47,823.76,1316.90,2250.40,933.50,
272,839.60,825.70,1289.55,2241.70,952.15,
273,839.74,827.65,1269.45,2218.65,949.20,
274,839.88,829.59,1241.85,2173.00,931.15,
275,840.01,831.53,1223.80,2157.65,933.85,
276,840.15,833.47,1202.55,2136.05,933.50,
277,840.29,835.41,1185.25,2119.05,933.80,
278,840.42,837.35,1171.35,2114.95,943.60,
279,840.56,839.28,1161.55,2097.25,935.70,
280,840.70,841.22,1148.60,2109.80,961.20,
281,840.83,843.16,1152.55,2100.55,948.00,
282,840.97,845.09,1150.00,2106.00,956.00,
283,841.11,847.02,1152.75,2090.75,938.00,
284,841.25,848.95,1149.85,2097.60,947.75,
285,841.38,850.89,1156.85,2098.65,941.80,
286,841.52,852.82,1161.95,2089.85,927.90,
287,841.66,854.75,1171.95,2100.80,928.85,
288,841.79,856.67,1191.70,2121.50,929.80,
289,841.93,858.60,1212.75,2158.10,945.35,
290,842.06,860.53,1242.65,2181.90,939.25,
291,842.20,862.45,1279.90,2215.80,935.90,
292,842.34,864.38,1345.90,2289.45,943.55,
293,842.47,866.30,1410.05,2351.90,941.85,
294,842.61,868.22,1506.30,2547.25,1040.95,
295,842.75,870.14,1638.70,2577.30,938.60,
296,842.88,872.06,1800.75,2747.05,946.30,
297,843.02,873.98,1987.50,2923.50,936.00,
298,843.16,875.90,2196.85,3127.45,930.60,
299,843.29,877.82,2380.50,3336.60,956.10,
300,843.43,879.73,2497.45,3425.05,927.60,
301,843.57,881.65,2518.60,3466.80,948.20,
302,843.70,883.56,2434.10,3372.90,938.80,
303,843.84,885.48,2284.25,3228.70,944.45,
304,843.97,887.39,2074.00,3011.70,937.70,
305,844.11,889.30,1872.20,2819.30,947.10,
306,844.25,891.21,1698.90,2644.55,945.65,
307,844.38,893.12,1561.80,2500.40,938.60,
308,844.52,895.03,1471.50,2413.55,942.05,
309,844.65,896.93,1396.40,2343.15,946.75,
310,844.79,898.84,1349.60,2314.05,964.45,
311,844.93,900.75,1319.85,2247.55,927.70,
312,845.06,902.65,1298.30,2234.55,936.25,
313,845.20,904.55,1289.55,2243.45,953.90,
314,845.33,906.46,1296.15,2237.70,941.55,
315,845.47,908.36,1295.25,2223.55,928.30,
316,845.61,910.26,1317.95,2246.80,928.85,
317,845.74,912.16,1331.20,2279.65,948.45,
318,845.88,914.05,1361.15,2300.60,939.45,
319,846.01,915.95,1395.10,2350.25,955.15,
320,846.15,917.85,1435.60,2373.50,937.90,
321,846.28,919.74,1481.90,2423.65,941.75,
322,846.42,921.64,1536.10,2473.45,937.35,
323,846.56,923.53,1603.65,2551.35,947.70,
324,846.69,925.42,1687.40,2627.45,940.05,
325,846.83,927.31,1809.95,2742.55,932.60,
326,846.96,929.20,1963.30,2898.05,934.75,
327,847.10,931.09,2190.40,3129.65,939.25,
328,847.23,932.98,2504.70,3449.05,944.35,
329,847.37,934.87,2923.80,3865.35,941.55,
330,847.51,936.76,3447.55,4393.70,946.15,
331,847.64,938.64,4009.00,4940.00,931.00,
332,847.78,940.52,4500.45,5434.90,934.45,
333,847.91,942.41,4781.00,5713.75,932.75,
334,848.05,944.29,4771.00,5715.75,944.75,
335,848.18,946.17,4466.65,5409.50,942.85,
336,848.32,948.05,3945.00,4886.05,941.05,
337,848.45,949.93,3322.75,4263.60,940.85,
338,848.59,951.81,2751.15,3683.00,931.85,
