Time,Potential
0.0009,0.00051676
0.0209,0.0047812
0.0409,0.010338
0.0609,0.015378
0.0809,0.020418
0.1009,0.025587
0.1209,0.030368
0.1409,0.035408
0.1609,0.040577
0.1809,0.045488
0.2009,0.050011
0.2209,0.055438
0.2409,0.060478
0.2609,0.065389
0.2809,0.070558
0.3009,0.075339
0.3209,0.080379
0.3409,0.08529
0.3609,0.090717
0.3809,0.09524
0.4009,0.10054
0.4209,0.10532
0.4409,0.11036
0.4609,0.1154
0.4809,0.12044
0.5009,0.12535
0.5209,0.13052
0.5409,0.13543
0.5609,0.1406
0.5809,0.14564
0.6009,0.15055
0.6209,0.15546
0.6409,0.16037
0.6609,0.16541
0.6809,0.17045
0.7009,0.17523
0.7209,0.18014
0.7409,0.18518
0.7609,0.18983
0.7809,0.19513
0.8009,0.20004
0.8209,0.20482
0.8409,0.20999
0.8609,0.21529
0.8809,0.21994
0.9009,0.22485
0.9209,0.23002
0.9409,0.23493
0.9609,0.23972
0.9809,0.24501
1.0009,0.2507
1.0209,0.25535
1.0409,0.26026
1.0609,0.2653
1.0809,0.27008
1.1009,0.27525
1.1209,0.28029
1.1409,0.2852
1.1609,0.29024
1.1809,0.29554
1.2009,0.30045
1.2209,0.30549
1.2409,0.3104
1.2609,0.31518
1.2809,0.31997
1.3009,0.32513
1.3209,0.33005
1.3409,0.33521
1.3609,0.34012
1.3809,0.34516
1.4009,0.3502
1.4209,0.35499
1.4409,0.36003
1.4609,0.36532
1.4809,0.37023
1.5009,0.37502
1.5209,0.38006
1.5409,0.38497
1.5609,0.39014
1.5809,0.39518
1.6009,0.40009
1.6209,0.40487
1.6409,0.40991
1.6609,0.41495
1.6809,0.41999
1.7009,0.42516
1.7209,0.43007
1.7409,0.43524
1.7609,0.43989
1.7809,0.44557
1.8009,0.44997
1.8209,0.45514
1.8409,0.46018
1.8609,0.46496
1.8809,0.47013
1.9009,0.47517
1.9209,0.48034
1.9409,0.48525
1.9609,0.49003
1.9809,0.49507
2.0009,0.49998
2.0209,0.50437
2.0409,0.50993
2.0609,0.51471
2.0809,0.51988
2.1009,0.52518
2.1209,0.52996
2.1409,0.53474
2.1609,0.53978
2.1809,0.54508
2.2009,0.54999
2.2209,0.55555
2.2409,0.56007
2.2609,0.56498
2.2809,0.57002
2.3009,0.57532
2.3209,0.5801
2.3409,0.58501
2.3609,0.59005
2.3809,0.59496
2.4009,0.6
2.4209,0.60478
2.4409,0.61008
2.4609,0.61499
2.4809,0.62003
2.5009,0.62494
2.5209,0.62972
2.5409,0.63489
2.5609,0.64019
2.5809,0.64497
2.6009,0.64988
2.6209,0.65505
2.6409,0.66009
2.6609,0.66513
2.6809,0.67004
2.7009,0.67495
2.7209,0.68012
2.7409,0.6849
2.7609,0.68994
2.7809,0.69537
2.8009,0.70015
2.8209,0.70519
2.8409,0.7101
2.8609,0.71501
2.8809,0.72005
2.9009,0.72496
2.9209,0.73013
2.9409,0.73491
2.9609,0.73982
2.9809,0.74486
3.0009,0.7499
3.0209,0.7552
3.0409,0.76011
3.0609,0.76515
3.0809,0.76993
3.1009,0.77523
3.1209,0.78027
3.1409,0.78505
3.1609,0.78983
3.1809,0.79513
3.2009,0.80017
3.2209,0.80508
3.2409,0.81025
3.2609,0.81503
3.2809,0.8202
3.3009,0.82511
3.3209,0.82989
3.3409,0.83532
3.3609,0.84062
3.3809,0.84501
3.4009,0.85005
3.4209,0.85522
3.4409,0.86026
3.4609,0.86517
3.4809,0.87008
3.5009,0.87474
3.5209,0.88016
3.5409,0.8852
3.5609,0.89024
3.5809,0.89515
3.6009,0.90045
3.6209,0.90523
3.6409,0.9104
3.6609,0.91531
3.6809,0.92009
3.7009,0.92501
3.7209,0.93017
3.7409,0.93521
3.7609,0.94025
3.7809,0.94504
3.8009,0.95046
3.8209,0.95524
3.8409,0.96016
3.8609,0.9652
3.8809,0.97036
3.9009,0.9754
3.9209,0.98044
3.9409,0.98523
3.9609,0.99014
3.9809,0.99556
4.0009,1.0005
4.0209,1.0054
4.0409,1.01
4.0609,1.0152
4.0809,1.0202
